"source_path","source_root","extension","size_bytes","proposed_destination","confidence","reason"
"ai/models/5.py","ai",".py","2","lab/research/ai","medium","Reusable AI research and training assets belong in Lab."
"ai/yolo_tests/4.py","ai",".py","2","REVIEW:ai","low","AI content needs semantic classification before moving."
"cad/assemblies/shadow_mk1/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/assemblies/shadow_mk2","cad","","2","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/pi_camera_v1/cad/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/pi_camera_v1/cad/PiCam_WideAngle v2.f3d","cad",".f3d","144526","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/pi_camera_v1/cad/PiCam_WideAngle v2.step","cad",".step","69997","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/pi_camera_v1/image/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/camera/pi_camera_v1/image/PiCam_WideAngle v2.png","cad",".png","179732","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/compute/raspberry_pi_3b/cad/Raspberry Pi 3 Light Version.STEP","cad",".step","35479511","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/compute/raspberry_pi_3b/cad/Raspberry Pi 3.STEP","cad",".step","27270137","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/compute/raspberry_pi_3b/image/Rendering-Rpi3-2.18-2.jpg","cad",".jpg","769691","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/compute/raspberry_pi_3b/image/Rendering-Rpi3-2.372.jpg","cad",".jpg","365080","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/flight_controller/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/flight_controller/navio_2/cad/Navio2.STEP","cad",".step","28220060","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/Arm.STEP","cad",".step","140905","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/BottomPlate.STEP","cad",".step","544807","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/CameraPlate.STEP","cad",".step","132318","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
